DATE,HOUR,POOL,SWAP_COUNT,TOTAL_VOLUME_USD,MIN_DEPTH_USD,AVG_SLIPPAGE,MAX_SLIPPAGE,MAX_PRICE,MIN_PRICE,AVG_PRICE
2025-04-05 02:52:23.000,2025-04-05 02:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDT,1,3299.25,3299.25,0.0091,0.0091,0.9999090744,0.9999090744,0.9999090744
2025-04-05 00:52:35.000,2025-04-05 00:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDC,1,3246.56,3246.56,0.0123,0.0123,0.9998768003,0.9998768003,0.9998768003
2025-04-04 05:37:47.000,2025-04-04 05:00:00.000,FRAX-USDC,1,4497.1,4497.1,0.0356,0.0356,0.9996442784,0.9996442784,0.9996442784
2025-04-04 23:09:35.000,2025-04-04 23:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDT,1,2214.37,2214.37,0.019,0.019,0.9998103478,0.9998103478,0.9998103478
2025-04-04 21:21:47.000,2025-04-04 21:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDC,1,1368.15,1368.15,0.0132,0.0132,0.9998684441,0.9998684441,0.9998684441
2025-04-04 06:14:11.000,2025-04-04 06:00:00.000,FRAX-USDC,1,96546.28,96546.28,0.0319,0.0319,0.9996810329,0.9996810329,0.9996810329
2025-04-04 21:11:35.000,2025-04-04 21:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDT,1,2248.91,2248.91,0.0151,0.0151,0.9998488271,0.9998488271,0.9998488271
2025-04-04 19:51:59.000,2025-04-04 19:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDT,2,17126.11,5065.02,0.0104,0.0104,0.9998973403,0.9998955373,0.9998964388
2025-04-01 12:11:11.000,2025-04-01 12:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDT,2,6500.9,1916.77,0.015,0.0249,1.000052172,0.9997513469,0.9999017597
2025-04-01 08:39:59.000,2025-04-01 08:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDC,1,1830.73,1830.73,0.0055,0.0055,0.9999453785,0.9999453785,0.9999453785
2025-04-01 15:21:11.000,2025-04-01 15:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDT,1,4360.88,4360.88,0.0018,0.0018,0.9999816552,0.9999816552,0.9999816552
2025-04-01 09:39:35.000,2025-04-01 09:00:00.000,Curve.fi Factory Plain Pool: crvUSD/USDT,1,3046.09,3046.09,0.0033,0.0033,1.00003283,1.00003283,1.00003283
