POOL_NAME,PLATFORM,COUNT(TX_HASH)
TON-WETH,uniswap-v2,3773
WETH-0xf21...a549,uniswap-v2,34946
Kekec-WETH,uniswap-v2,9572
PIPO-WETH,uniswap-v2,4762
WETH-puppies,uniswap-v2,7531
FET-WETH 3000 60 UNI-V3 LP,uniswap-v3,33967
WETH-ROUGE,uniswap-v2,2671
COFFEE-WETH,uniswap-v2,5184
ORAI-WETH 10000 200 UNI-V3 LP,uniswap-v3,2896
WiZz-WETH,uniswap-v2,1551
BVM-WETH 3000 60 UNI-V3 LP,uniswap-v3,2334
LUNA-WETH 10000 200 UNI-V3 LP,uniswap-v3,3790
KAKI-WETH,sushiswap,70
SPELL-WETH 10000 200 UNI-V3 LP,uniswap-v3,2404
HYPER-TITANX 10000 200 UNI-V3 LP,uniswap-v3,6990
DCLUB-WETH,uniswap-v2,9
TREMP-WETH,uniswap-v2,869
WETH-GREENLAND,uniswap-v2,788
WETH-LUNA,sushiswap,1105
USDC-PAL 10000 200 UNI-V3 LP,uniswap-v3,125
HAPPY-WETH,uniswap-v2,317
HEX-HDRN,uniswap-v2,2427
HEX-ICSA,uniswap-v2,1859
USDC-Bold 500 10 UNI-V3 LP,uniswap-v3,1459
DIVI-WETH,uniswap-v2,707
Balancer stETH Stable Pool,balancer,719
USDT-SHX 10000 200 UNI-V3 LP,uniswap-v3,4107
GAME-WETH,uniswap-v2,398
Curve.fi Pool: renBTC-WBTC,curve,688
AIMBOT-WETH,uniswap-v2,548
WETH-GONDOLA,uniswap-v2,2660
WETH-OCT,dodo-v2,89
USDT-RKC,uniswap-v2,1418
USDC-EIGEN 10000 200 UNI-V3 LP,uniswap-v3,1024
ORAI-AXGT 10000 200 UNI-V3 LP,uniswap-v3,688
$BEER-WETH,uniswap-v2,28
WOLT-WETH,uniswap-v2,271
CNV-WETH 10000 200 UNI-V3 LP,uniswap-v3,505
WETH-AURA,uniswap-v2,217
Balancer svETH/wstETH StablePool,balancer,35
X-GPT-WETH,uniswap-v2,61
d/acc-WETH,uniswap-v2,234
WETH-PIXEL,dodo-v2,356
UwU-WETH,uniswap-v2,174
WETH-WRLD 10000 200 UNI-V3 LP,uniswap-v3,326
WETH-GATSBY,uniswap-v2,517
LDO-WETH 2500 50 PCS-V3 LP,pancakeswap-v3,162
DUKE-WETH,uniswap-v2,753
WETH-$DG,sushiswap,87
USDC-MSD,uniswap-v2,175
