blockchain,dex,pool,pool_id,date,Spread,swap_count,volume,order_size,pool_type
ethereum,curve,USDC-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-25 0:00,0.0108,98,140920459,719020.1165,Stable Pair
ethereum,curve,USDC-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-24 0:00,0.0183,111,134852867.4,607471.5597,Stable Pair
ethereum,curve,USDC-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-06-06 0:00,0.0224,102,122872086.9,602318.2626,Stable Pair
ethereum,curve,USDC-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-06-12 0:00,0.025,115,104616851.1,454873.1544,Stable Pair
ethereum,curve,USDC-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-12 0:00,0.0463,90,96114357.76,533987.1559,Stable Pair
ethereum,curve,USDC-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-15 0:00,0.0379,79,93052087.98,588980.1483,Stable Pair
ethereum,curve,USDC-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-06-10 0:00,0.0171,126,92391337.3,366668.2326,Stable Pair
ethereum,curve,USDC-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-17 0:00,0.0219,100,88817042.99,444099.4666,Stable Pair
ethereum,curve,USDC-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-06-01 0:00,0.0215,118,81897415.23,347047.283,Stable Pair
ethereum,curve,USDC-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-06-05 0:00,0.0305,111,77203083.86,347784.1201,Stable Pair
ethereum,curve,USDC-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-06-08 0:00,0.0084,97,75574846.19,389577.2464,Stable Pair
ethereum,curve,USDC-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-18 0:00,0.0148,80,75061404.98,469156.7426,Stable Pair
ethereum,curve,USDC-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-19 0:00,0.0166,86,74863376.54,435286.0023,Stable Pair
ethereum,curve,USDC-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-16 0:00,0.0378,95,73542617.76,387069.0615,Stable Pair
ethereum,curve,USDC-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-23 0:00,0.0227,89,65825087.26,369807.0841,Stable Pair
ethereum,curve,USDC-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-26 0:00,0.013,110,63943423.1,290671.7938,Stable Pair
ethereum,curve,USDC-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-29 0:00,0.0217,86,63499908.42,369211.1004,Stable Pair
ethereum,curve,DAI-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-06-10 0:00,0.0195,45,62463238.93,694099.8389,Stable Pair
ethereum,curve,DAI-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-06-10 0:00,0.0195,45,62463238.93,694099.8389,Stable Pair
ethereum,curve,USDC-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-22 0:00,0.031,88,57391569.22,326097.5677,Stable Pair
ethereum,curve,USDC-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-30 0:00,0.0285,86,56920642.16,330962.1812,Stable Pair
ethereum,curve,USDC-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-06-11 0:00,0.0393,68,38529859.95,283324.4622,Stable Pair
ethereum,curve,crvUSD-USDC,0x4dece678ceceb27446b35c672dc7d61f30bad69e,2023-06-10 0:00,0.1195,210,33134379.48,78897.62093,Stable Pair
ethereum,curve,DAI-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-06-12 0:00,0.021,21,31174327.37,742224.0589,Stable Pair
ethereum,curve,USDC-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-28 0:00,0.0216,65,30129340.44,231768.7852,Stable Pair
ethereum,curve,DAI-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-23 0:00,0.0211,26,26799447.97,515389.8216,Stable Pair
ethereum,curve,DAI-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-23 0:00,0.0211,26,26799447.97,515389.8216,Stable Pair
ethereum,curve,DAI-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-22 0:00,0.0296,39,26387069.56,338306.26,Stable Pair
ethereum,curve,DAI-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-06-06 0:00,0.0188,25,25625094.21,512527.623,Stable Pair
ethereum,curve,USDC-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-13 0:00,0.044,73,24642057.74,168787.5693,Stable Pair
