,blockchain,dex,pool,pool_id,date,Spread,swap_count,volume,order_size,pool_type,order_size_bin,volume_bin,Trade_size,trade_size_bin
0,ethereum,curve,USDC-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-25,1.08,98,140920459.0,719020.1165,Stable Pair,250k–1M,>100M,1437963.8673469387,>1M
1,ethereum,curve,USDC-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-24,1.83,111,134852867.4,607471.5597,Stable Pair,250k–1M,>100M,1214890.6972972974,>1M
2,ethereum,curve,USDC-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-06-06,2.2399999999999998,102,122872086.9,602318.2626,Stable Pair,250k–1M,>100M,1204628.3029411766,>1M
3,ethereum,curve,USDC-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-06-12,2.5,115,104616851.1,454873.1544,Stable Pair,250k–1M,>100M,909711.7486956521,750k–1M
4,ethereum,curve,USDC-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-12,4.63,90,96114357.76,533987.1559,Stable Pair,250k–1M,50M–100M,1067937.3084444446,>1M
5,ethereum,curve,USDC-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-15,3.7900000000000005,79,93052087.98,588980.1483,Stable Pair,250k–1M,50M–100M,1177874.531392405,>1M
6,ethereum,curve,USDC-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-06-10,1.71,126,92391337.3,366668.2326,Stable Pair,250k–1M,50M–100M,733264.5817460318,500k–750k
7,ethereum,curve,USDC-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-17,2.19,100,88817042.99,444099.4666,Stable Pair,250k–1M,50M–100M,888170.4299,750k–1M
8,ethereum,curve,USDC-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-06-01,2.15,118,81897415.23,347047.283,Stable Pair,250k–1M,50M–100M,694045.8917796611,500k–750k
9,ethereum,curve,USDC-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-06-05,3.05,111,77203083.86,347784.1201,Stable Pair,250k–1M,50M–100M,695523.278018018,500k–750k
10,ethereum,curve,USDC-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-06-08,0.84,97,75574846.19,389577.2464,Stable Pair,250k–1M,50M–100M,779122.1256701031,750k–1M
11,ethereum,curve,USDC-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-18,1.48,80,75061404.98,469156.7426,Stable Pair,250k–1M,50M–100M,938267.5622500001,750k–1M
12,ethereum,curve,USDC-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-19,1.66,86,74863376.54,435286.0023,Stable Pair,250k–1M,50M–100M,870504.3783720931,750k–1M
13,ethereum,curve,USDC-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-16,3.7800000000000002,95,73542617.76,387069.0615,Stable Pair,250k–1M,50M–100M,774132.8185263159,750k–1M
14,ethereum,curve,USDC-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-23,2.27,89,65825087.26,369807.0841,Stable Pair,250k–1M,50M–100M,739607.7220224718,500k–750k
15,ethereum,curve,USDC-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-26,1.3,110,63943423.1,290671.7938,Stable Pair,250k–1M,50M–100M,581303.8463636364,500k–750k
16,ethereum,curve,USDC-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-29,2.17,86,63499908.42,369211.1004,Stable Pair,250k–1M,50M–100M,738371.0281395349,500k–750k
17,ethereum,curve,DAI-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-06-10,1.95,45,62463238.93,694099.8389,Stable Pair,250k–1M,50M–100M,1388071.9762222222,>1M
18,ethereum,curve,DAI-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-06-10,1.95,45,62463238.93,694099.8389,Stable Pair,250k–1M,50M–100M,1388071.9762222222,>1M
19,ethereum,curve,USDC-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-22,3.1,88,57391569.22,326097.5677,Stable Pair,250k–1M,50M–100M,652176.9229545455,500k–750k
20,ethereum,curve,USDC-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-30,2.85,86,56920642.16,330962.1812,Stable Pair,250k–1M,50M–100M,661867.9320930232,500k–750k
21,ethereum,curve,USDC-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-06-11,3.93,68,38529859.95,283324.4622,Stable Pair,250k–1M,10M–50M,566615.5875,500k–750k
22,ethereum,curve,crvUSD-USDC,0x4dece678ceceb27446b35c672dc7d61f30bad69e,2023-06-10,11.95,210,33134379.48,78897.62093,Stable Pair,50k–100k,10M–50M,157782.75942857144,100k–200k
23,ethereum,curve,DAI-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-06-12,2.1,21,31174327.37,742224.0589,Stable Pair,250k–1M,10M–50M,1484491.7795238097,>1M
24,ethereum,curve,USDC-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-28,2.16,65,30129340.44,231768.7852,Stable Pair,100k–250k,10M–50M,463528.3144615385,400k–500k
25,ethereum,curve,DAI-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-23,2.11,26,26799447.97,515389.8216,Stable Pair,250k–1M,10M–50M,1030747.9988461538,>1M
26,ethereum,curve,DAI-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-23,2.11,26,26799447.97,515389.8216,Stable Pair,250k–1M,10M–50M,1030747.9988461538,>1M
27,ethereum,curve,DAI-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-22,2.96,39,26387069.56,338306.26,Stable Pair,250k–1M,10M–50M,676591.5271794872,500k–750k
28,ethereum,curve,DAI-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-06-06,1.8800000000000001,25,25625094.21,512527.623,Stable Pair,250k–1M,10M–50M,1025003.7684000001,>1M
29,ethereum,curve,USDC-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-13,4.3999999999999995,73,24642057.74,168787.5693,Stable Pair,100k–250k,10M–50M,337562.43479452055,300k–400k
30,ethereum,curve,FRAX-USDC,0xdcef968d416a41cdac0ed8702fac8128a64241a2,2023-06-05,7.1499999999999995,60,23782605.15,198187.7896,Stable Pair,100k–250k,10M–50M,396376.7525,300k–400k
31,ethereum,curve,DAI-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-21,3.74,16,23342038.89,729577.8576,Stable Pair,250k–1M,10M–50M,1458877.430625,>1M
32,ethereum,curve,crvUSD-USDC,0x4dece678ceceb27446b35c672dc7d61f30bad69e,2023-06-12,10.02,129,23293191.44,90283.62983,Stable Pair,50k–100k,10M–50M,180567.37550387598,100k–200k
33,ethereum,curve,DAI-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-18,1.4200000000000002,29,21692437.65,374006.4641,Stable Pair,250k–1M,10M–50M,748015.0913793102,500k–750k
34,ethereum,curve,DAI-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-06-02,2.29,32,21526358.63,336380.523,Stable Pair,250k–1M,10M–50M,672698.7071875,500k–750k
35,ethereum,curve,DAI-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-06-02,2.29,32,21526358.63,336380.523,Stable Pair,250k–1M,10M–50M,672698.7071875,500k–750k
36,ethereum,curve,DAI-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-12,4.49,49,21417795.24,218541.962,Stable Pair,100k–250k,10M–50M,437097.8620408163,400k–500k
37,ethereum,curve,DAI-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-06-11,3.7699999999999996,24,21135498.79,440350.5484,Stable Pair,250k–1M,10M–50M,880645.7829166666,750k–1M
38,ethereum,curve,DAI-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-27,2.1999999999999997,32,21044749.62,328869.9868,Stable Pair,250k–1M,10M–50M,657648.425625,500k–750k
39,ethereum,curve,FRAX-USDC,0xdcef968d416a41cdac0ed8702fac8128a64241a2,2023-06-10,7.1,68,20982310.09,154251.0415,Stable Pair,100k–250k,10M–50M,308563.3836764706,300k–400k
40,ethereum,curve,FRAX-USDC,0xdcef968d416a41cdac0ed8702fac8128a64241a2,2023-06-12,8.0,42,20841586.46,248209.7641,Stable Pair,100k–250k,10M–50M,496228.24904761906,400k–500k
41,ethereum,curve,USDC-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-14,3.95,45,20540994.7,228244.0602,Stable Pair,100k–250k,10M–50M,456466.54888888885,400k–500k
42,ethereum,curve,FRAX-USDC,0xdcef968d416a41cdac0ed8702fac8128a64241a2,2023-05-25,6.83,19,19748918.63,519783.7711,Stable Pair,250k–1M,10M–50M,1039416.7699999999,>1M
43,ethereum,curve,DAI-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-17,2.1399999999999997,27,19510277.27,361296.7822,Stable Pair,250k–1M,10M–50M,722602.8618518518,500k–750k
44,ethereum,curve,DAI-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-06-01,1.69,21,19227329.38,457787.4313,Stable Pair,250k–1M,10M–50M,915587.1133333333,750k–1M
45,ethereum,curve,USDC-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-06-04,3.11,65,18994356.59,146118.2448,Stable Pair,100k–250k,10M–50M,292220.8706153846,200k–300k
46,ethereum,curve,DAI-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-06-05,2.6100000000000003,31,16670244.65,268867.4054,Stable Pair,250k–1M,10M–50M,537749.8274193548,500k–750k
47,ethereum,curve,TUSD-USDT,0xecd5e75afb02efa118af914515d6521aabd189f1,2023-06-10,20.549999999999997,24,15444703.64,322067.8098,Stable Pair,250k–1M,10M–50M,643529.3183333334,500k–750k
48,ethereum,curve,DAI-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-06-07,0.61,27,15289025.12,283138.8467,Stable Pair,250k–1M,10M–50M,566260.1896296296,500k–750k
49,ethereum,curve,DAI-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-29,1.72,21,14560429.77,346701.0518,Stable Pair,250k–1M,10M–50M,693353.7985714285,500k–750k
50,ethereum,curve,crvUSD-USDT,0x390f3595bca2df7d23783dfd126427cceb997bf4,2023-06-10,11.18,108,13528240.87,62633.71864,Stable Pair,50k–100k,10M–50M,125261.48953703704,100k–200k
51,ethereum,curve,crvUSD-USDT,0x390f3595bca2df7d23783dfd126427cceb997bf4,2023-06-10,11.18,108,13528240.87,62633.71864,Stable Pair,50k–100k,10M–50M,125261.48953703704,100k–200k
52,ethereum,curve,USDC-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-06-03,3.29,73,13407216.83,91827.25537,Stable Pair,50k–100k,10M–50M,183660.50452054795,100k–200k
53,ethereum,curve,crvUSD-USDC,0x4dece678ceceb27446b35c672dc7d61f30bad69e,2023-06-11,9.93,85,13265978.6,78033.44483,Stable Pair,50k–100k,10M–50M,156070.33647058823,100k–200k
54,ethereum,curve,crvUSD-USDT,0x390f3595bca2df7d23783dfd126427cceb997bf4,2023-06-12,13.020000000000001,71,13148901.88,92591.49843,Stable Pair,50k–100k,10M–50M,185195.80112676058,100k–200k
55,ethereum,curve,DAI-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-16,3.32,39,12784464.53,163916.6606,Stable Pair,100k–250k,10M–50M,327806.78282051283,300k–400k
56,ethereum,curve,DAI-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-15,3.4099999999999997,23,12333221.4,268126.3363,Stable Pair,250k–1M,10M–50M,536227.0173913044,500k–750k
57,ethereum,curve,eUSD-USDC,0x880f2fb3704f1875361de6ee59629c6c6497a5e3,2023-05-29,41.08,53,12103191.68,114220.8415,Stable Pair,100k–250k,10M–50M,228362.10716981132,200k–300k
58,ethereum,curve,crvUSD-USDC,0x4dece678ceceb27446b35c672dc7d61f30bad69e,2023-06-08,9.07,57,11920419.21,104578.7221,Stable Pair,100k–250k,10M–50M,209130.1615789474,200k–300k
59,ethereum,curve,eUSD-USDC,0x880f2fb3704f1875361de6ee59629c6c6497a5e3,2023-05-31,30.270000000000003,32,11772882.07,184492.3371,Stable Pair,100k–250k,10M–50M,367902.5646875,300k–400k
60,ethereum,curve,DAI-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-30,2.93,19,11446523.87,301265.8019,Stable Pair,250k–1M,10M–50M,602448.6247368421,500k–750k
61,ethereum,curve,USDC-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-21,3.3300000000000005,51,10206482.13,100064.1909,Stable Pair,100k–250k,10M–50M,200127.1005882353,200k–300k
62,ethereum,curve,USDC-USDT,0xbebc44782c7db0a1a60cb6fe97d0b483032ff1c7,2023-05-21,3.3300000000000005,51,10206482.13,100064.1909,Stable Pair,100k–250k,10M–50M,200127.1005882353,200k–300k
